filename	sha256	size_bytes	download_iso8601
whosonfirst-data-admin-nl-latest.parquet	081a878ff83faaa0af73cf9f408b0a392d86684969f1a6052705c1d3fb205baf	112384136	2026-04-27T18:15:02Z
whosonfirst-data-admin-de-latest.parquet	e4f7d0ed9801e6cc85528d804703308bc6caf247fd8b5096b95f59f847e48202	80784586	2026-04-27T18:15:03Z
whosonfirst-data-admin-at-latest.parquet	8bf1189e203c3b2a54b04252d151690f5124c970d2ef59af12a5b4c2f8ba43d7	53556194	2026-04-27T18:15:03Z
whosonfirst-data-admin-fr-latest.parquet	a437f2c7433a39e9f7d90cc4c9c5a9b29d9a0a1ce0f44a409539875945d4fafe	283503725	2026-04-27T18:15:04Z
whosonfirst-data-admin-be-latest.parquet	0f207d6d8f0e3c3828a50ea7c67c6e7d2e1596686682b925ff20b9eae152d4f9	17337594	2026-04-27T18:15:04Z
whosonfirst-data-admin-it-latest.parquet	08681972fd879a3120659585783dae183f40d17e48e6601debafaef8478f988b	120458483	2026-04-27T18:15:04Z
whosonfirst-data-admin-gb-latest.parquet	27699d042fdc258f1fd6802c04b3d93bd206c28a02bd22561bb7e8124a014514	596646361	2026-04-27T18:15:06Z
whosonfirst-data-admin-us-latest.parquet	535c74ae07d1b877121a172d297c85baff838e44bc62d02f7aea928e6d9f73a1	673990160	2026-04-27T18:15:08Z
whosonfirst-data-admin-id-latest.parquet	65973c8458621483de831425b351510875bcf4c1cd0a6f0a6173a31a5e7d46cf	37265975	2026-04-27T18:15:08Z
whosonfirst-data-admin-jp-latest.parquet	5391682276082696da0c7580937127d55b1bd02dab4242046f67406da8bd42c5	13348483	2026-04-27T18:15:08Z
whosonfirst-data-admin-cn-latest.parquet	66d1c87047540062218c6975702bdc9c41f7d08e979d2fb882c8f3e181a65ec2	99933987	2026-04-27T18:15:09Z
